xia_01|鳳凰女帝|金殿王座
ga_13|黑曜石重甲劍士|機甲要塞
ga_14|虛擬歌姬偶像|全息演唱
ga_15|電競榮耀萌妹|戰隊宣傳
ga_16|星際王牌機師|太空艦艙
ga_17|赤焰拳法少女|格鬥武館
ga_18|冰晶法術魔女|冰封王座
ga_19|荒野流浪槍手|漫天風沙
ga_20|霓虹都市御姐|賽博夜景
ga_21|精靈逐風獵手|迷霧叢林
ga_22|神聖天使武姬|浮空神殿
df_01|狐妖夜市|紅燈初現
df_02|雪寺狐妖|白狐披風
df_03|宮廷狐妖|暗香潛行
df_04|月林狐妖|九尾幻影
df_05|黑森林狼月女王|狼月森林
df_06|詛咒鐘樓新娘|詛咒鐘樓
df_07|灰燼王國逃亡者|焚燼廢都
df_08|幽暗水晶礦洞|晶礦深洞
df_09|黑羽獵魔人|夜獵荒原
df_10|毒蘑菇森林女巫|毒菇魔林
df_11|時間女神·沙漏爆碎|碎時沙漏
df_12|深淵女王·倒懸魔城|倒懸魔城
df_13|紫蝶魔法女王|紫翼城堡
dr_01|西安紅裙大景|長安古城牆
dr_02|風暴城牆|古城風雨
dr_03|荒原放逐|荒漠天涯
dr_04|雪原歸戰|雪地歸程
dr_05|花燈夜奔|元宵燈夜
dr_06|雨巷回眸|江南煙雨
dr_07|黃昏城門|暮色城門
dr_08|孤影長街|空街月影
dr_09|玉階回望|白玉台階
dr_10|山門考驗|巍峨山門
dr_11|大明宮詞晚宴|皇家盛宴
dr_12|華清池畔凝眸|溫泉薄霧
dr_13|驪山烽火佳人|黃昏夕照
dr_14|終南山隱劍客|竹林幽谷
dr_15|大雁塔落日斜|古寺鐘鳴
dr_16|碑林墨香尋跡|文墨長廊
dr_17|曲江池畔放燈|夜照芙蓉
hd_01|逐玉女主|玉碎沙場
hd_02|白日提燈|惡鬼提燈
hd_03|唐宮奇案|青霧探案
hd_04|月鱗綺紀|九尾狐影
hd_05|玉茗茶骨|茶香權謀
hd_06|雨霖鈴|俠客破空
hd_07|莫離|替嫁復仇
hd_08|大奉打更人|金鑼鳴冤
hd_09|子夜歸|百鬼夜行
hd_10|長相思|鳳凰林別
hd_11|與鳳行|碧蒼戰神
hd_12|墨雨雲間|綠蓮奪魁
hd_13|難哄|溫柔救贖
hd_14|藏海傳|重回暗局
hd_15|家業|百年徽商
qu_01|女王·金殿加冕|黃金王座
qu_02|女王·雪境宣誓|冰雪要塞
qu_03|女王·海港登基|海港艦隊
qu_04|女王·沙漠王座|沙漠宮殿
qu_05|女王·黑曜王令|黑曜宮殿
qu_06|女王·花冠和平|皇家花園
qu_07|女王·月台秘誓|月夜高台
qu_08|女王·霜林凱旋|勝利歸來
qu_09|女王·深淵邊緣|深淵前
qu_10|女王·古城廢墟|廢宮遺址
sp_01|妲己·摘星樓夜宴|商朝妖后
sp_02|妲己·朝歌魅影|朝歌宮廷
sp_03|妲己·鹿台焚香|焚香宮台
sp_04|妲己·狐火屏風|九尾狐影
sp_05|九尾狐·妖后魅惑|宮廷暗廊
sp_06|九尾狐·月下獵心|月林紅燈
sp_07|九尾狐·鏡湖幻誓|鏡湖月色
sp_08|嫦娥·月宮孤寂|廣寒宮
sp_09|嫦娥·廣寒秋思|月桂秋色
sp_10|楊貴妃·華清温泉|華清温泉
sp_11|九尾火狐|月夜古廟
cm_dj_01|妲己·酒池月色|月下宮池
cm_dj_02|妲己·炮烙火光|宮廷焰影
cm_dj_03|妲己·雪夜朝歌|朝歌霜雪
cm_dj_04|妲己·妖狐封后|受封宮廷
cm_dj_05|妲己·碎玉密詔|秘室謀算
cm_dj_06|妲己·焚城離歌|商朝終焉
cm_jw_01|九尾狐·妖市花燈|妖夜夜市
cm_jw_02|九尾狐·王城惑君|宮牆霧雨
cm_jw_03|九尾狐·雪狐歸山|雪山狐宮
cm_jw_04|九尾狐·桃花劫夢|桃林迷境
cm_jw_05|九尾狐·禁宮夜舞|宮廷舞典
cm_jw_06|九尾狐·青丘封印|青丘聖地
cm_ch_01|嫦娥·廣寒月階|廣寒宮殿
cm_ch_02|嫦娥·桂影孤眠|月桂樹下
cm_ch_03|嫦娥·奔月回眸|飛升仙道
cm_ch_04|嫦娥·玉兔燈會|月宮花燈
cm_ch_05|嫦娥·月井照心|月宮水井
cm_ch_06|嫦娥·星河寄信|銀河橋畔
cm_yg_01|楊貴妃·牡丹夜宴|長安花宴
cm_yg_02|楊貴妃·霓裳羽衣|宮廷獻舞
cm_yg_03|楊貴妃·長恨月色|長生殿外
cm_yg_04|楊貴妃·荔枝驛路|南國快馬
cm_yg_05|楊貴妃·沉香亭花|沉香小亭
cm_yg_06|楊貴妃·馬嵬風雨|馬嵬坡雨
cm_xs_01|西施·浣紗溪畔|越國溪邊
cm_xs_02|西施·荷塘低語|荷花池畔
cm_xs_03|西施·吳宮回望|吳國水閣
cm_xs_04|西施·鏡水沉魚|鏡湖倒影
cm_xs_05|西施·溪橋別離|溪橋送別
cm_xs_06|西施·素衣入宮|宮門清晨
cm_zj_01|昭君·大漠出塞|長城以外
cm_zj_02|昭君·草原夕陽|大漠黃昏
cm_zj_03|昭君·邊關風雪|邊塞冬日
cm_zj_04|昭君·雁門回眸|雁門關道
cm_zj_05|昭君·琵琶夜曲|邊疆篝火
cm_zj_06|昭君·長城別曲|長城烽火台
cm_dc_01|貂蟬·月下拜天|三國宮苑
cm_dc_02|貂蟬·閉月之舞|月舞宮廷
cm_dc_03|貂蟬·連環密計|機謀密室
cm_dc_04|貂蟬·鳳儀亭夜|鳳儀亭月
cm_dc_05|貂蟬·洛陽花雨|春日花雨
cm_dc_06|貂蟬·銅雀月影|銅雀高台
cm_xn_01|玄女·天門降令|天門雷光
cm_xn_02|玄女·玄黃天光|天地交匯
cm_xn_03|玄女·龍旗出征|龍旗天軍
cm_xn_04|玄女·星盤戰策|天界謀略
cm_xn_05|玄女·雷海決戰|雷霆戰場
cm_xn_06|玄女·兵書開封|天界藏書閣
eu_01|巴黎鐵塔|埃菲爾夕陽
eu_02|羅浮宮|玻璃金字塔
eu_03|羅馬鬥獸場|古羅馬競技
eu_04|威尼斯水道|鳳尾船浪漫
eu_05|布拉格查理橋|百塔之城
eu_06|聖托里尼|藍頂白屋
eu_07|雅典衛城|帕德嫩神廟
eu_08|阿姆斯特丹|運河鬱金香
eu_09|佛羅倫斯|百花聖母堂
eu_10|倫敦塔橋|泰晤士河畔
eu_11|愛丁堡城堡|蘇格蘭高地
eu_12|里斯本彩磚|電車街道
eu_13|維也納美泉宮|哈布斯堡宮
eu_14|土耳其棉花堡|溫泉梯田
eu_15|荷蘭花海|鬱金香春光
eu_16|倫敦大笨鐘|泰晤士傳說
jp_01|嵐山竹林|翠竹步道
jp_02|祗園花見小路|燈籠老街
jp_03|奈良鹿苑|小鹿同遊
jp_04|富士山倒影|本栖湖鏡映
jp_05|淺草寺|雷門大燈籠
jp_06|澀谷夜景|十字路口
jp_07|鎌倉大佛|高德院
jp_08|北海道雪原|冬日靜謐
jp_09|大阪道頓堀|霓虹美食
jp_10|沖繩海灘|翡翠珊瑚海
jp_11|金閣寺|黃金倒影
jp_12|箱根溫泉|富士眺望
jp_13|伏見稻荷|千鳥居隧道
jp_14|白川鄉合掌村|雪中合掌造
jp_15|晴空塔夜景|東京灣夜空
jp_16|吉野山千本桜|山間桜花雲
jp_17|宮島海中鳥居|厳島神社
jp_18|大阪城|春日桜花城
jp_19|京都哲學之道|疏水道桜並木
jp_20|北海道美瑛藍池|神秘藍色
jp_21|表參道欅木大道|東京時尚街道
jp_22|函館夜景|百萬夜色
ks_01|首爾景福宮|朝鮮宮闕
ks_02|北村韓屋村|傳統韓屋
ks_03|濟州花海|油菜花春日
ks_04|漢江夜景|首爾燈光
ks_05|泰國大皇宮|曼谷金塔
ks_06|清邁白廟|純白神殿
ks_07|峇里島梯田|翠綠稻田
ks_08|峇里島海神廟|海中神廟
ks_09|越南會安|燈籠古城
ks_10|新加坡濱海灣|超級樹
ks_11|馬爾地夫|藍水懸屋
ks_12|曼谷鄭王廟|黎明廟塔
ks_13|越南河內|法式老城
ks_14|菲律賓巧克力山|奇景丘陵
ks_15|韓國楓葉山|秋紅火燃
ks_16|清邁古城|泰北慢活
wt_01|杜拜哈里發塔|沙漠摩天
wt_02|伊斯坦堡藍清真寺|鄂圖曼神殿
wt_03|摩洛哥藍城|舍夫沙萬
wt_04|埃及金字塔|吉薩獅身
wt_05|紐約中央公園|摩天環境
wt_06|舊金山金門橋|橙紅鐵橋
wt_07|馬丘比丘|天空之城
wt_08|古巴哈瓦那|老爺車街道
wt_09|台灣九份|山城燈籠
wt_10|花蓮太魯閣|峽谷大理石
wt_11|阿里山雲海|日出雲瀑
wt_12|冰島極光|北極光夜
wt_13|聖托里尼落日|地中海夕陽
wt_14|澳洲烏魯魯|紅石聖地
wt_15|台灣墾丁|南島海景
wt_16|美國羚羊谷|光影波紋
wt_17|玻利維亞烏尤尼|天空之鏡
wt_18|紐約時代廣場|霓虹都市
wt_19|加拿大班夫|洛磯山明湖
wt_20|冰島藍潟湖|地熱仙境
wt_21|澳洲雪梨歌劇院|貝殼海灣
wt_22|巴西基督像|里約山頂
wt_23|土耳其卡帕多奇亞|熱氣球奇景
cm_01|北京故宮|紫禁城
cm_02|萬里長城|山脊蜿蜒
cm_03|布達拉宮|天空宮殿
cm_04|麗江古城|雲南古鎮
cm_05|黃山奇松|雲海飄渺
cm_06|桂林山水|漓江竹筏
cm_07|張家界|阿凡達浮山
cm_08|九寨溝|彩色仙湖
cm_09|蘇州園林|拙政園
cm_10|杭州西湖|斷橋春色
cm_11|敦煌莫高窟|沙漠佛龕
cm_12|西安古城牆|長安夕陽
cm_13|重慶洪崖洞|夜景燈火
cm_14|成都錦里|古風商街
cm_15|廈門鼓浪嶼|音樂海島
cm_16|烏鎮水鄉|江南古鎮
cm_17|西塘古鎮|廊棚煙雨
cm_18|鳳凰古城|苗族古城
jy_01|王語嫣|天龍神仙姐姐
jy_02|小龍女|古墓派掌門
jy_03|黃蓉|桃花島少主
jy_04|趙敏|汝陽王郡主
jy_05|周芷若|峨嵋掌門
jy_06|任盈盈|笑傲聖姑
jy_07|李莫愁|神鵰恩仇俠
jy_08|阿紫|天龍聰慧任性
jy_09|木婉清|天龍南詔神秘
jy_10|梅超風|射鵰鐵掌遺孤
jy_11|阿朱|天龍聰慧侍女
jy_12|穆念慈|射鵰武痴俠女
jy_13|香香公主|書劍西域天女
jy_14|郭芙|神鵰帝女
jy_15|岳靈珊|笑傲華山
jy_16|程靈素|飛狐藥師
jy_17|袁紫衣|飛狐武當謎女
jy_18|華箏|射鵰蒙古公主
jy_19|阿碧|天龍太湖碧水
jy_20|紀曉芙|倚天峨嵋淒美
jy_21|小昭|倚天波斯聖女
jy_22|雙兒|鹿鼎溫柔摯愛
jy_23|阿秀|俠客俠骨柔情
jy_24|戚芳|連城空心菜緣
jy_25|苗若蘭|飛狐雪山千金
jy_26|李文秀|白馬大漠孤影
jy_27|霍青桐|書劍翠羽黃衫
jy_28|水笙|連城雪谷幽蘭
jy_29|藍鳳凰|笑傲五毒教主
jy_30|阿九|碧血亡國公主
cs_01|七仙女下凡|天宮仙境
cs_02|織女星河|鵲橋相會
cs_03|白素貞|西湖油紙傘
cs_04|花木蘭|代父征戰
cs_05|穆桂英|掛帥出征
cs_06|王昭君|出塞琵琶
cs_07|貂蟬|宮廷閉月
cs_08|西施|越國浣紗
cs_09|林黛玉|葬花吟詩
cs_10|嫦娥奔月|廣寒宮月
cs_11|天女散花|飛天花雨
cs_12|洛神|洛水驚鴻
cs_13|梁祝化蝶|蝴蝶傳說
cs_14|霸王別姬|虞姬傳說
cs_15|孟姜女|哭倒長城
cs_16|楊貴妃|霓裳羽衣
cs_17|祝融火神|烈焰戰車
cs_18|聶小倩|蘭若幽魂
cs_19|武則天|無字碑歌
cs_20|班婕妤|秋扇見捐
cs_21|崔鶯鶯|西廂待月
fl_01|叛逆黑翼|堕落之翼
fl_02|星界流放|宇宙放逐
fl_03|廢宮廢墟|神殿傾頹
fl_04|詛咒纏縛|荊棘黑玫
fl_05|暗夜獵者|黑羽疾飛
fl_06|戰敗天使|殘陽戰場
fl_07|黑晶封印|魔晶囚籠
fl_08|哭泣天使|淚涸之境
fl_09|復仇降臨|血月祭壇
fl_10|暗殿祭司|禁忌儀式
fl_11|裂翼守望|廢棄鐘樓
fl_12|消逝邊界|虛無天使
fl_13|黑暗先知|褪色預言
fl_14|虛空天使|消散邊界
fl_15|黑翼颶降|暗翼颶風
fl_16|魅魔墮翼|誘惑深淵
fl_17|暗靈信使|死亡預言
fl_18|末日天使|啟示終焉
fl_19|孤星天使|最後守望
fl_20|蒼月天使|蒼穹哀歌
fl_21|裂魂審判|斷罪之刃
fl_22|永夜沉淪|無光之境
fl_23|餘燼重燃|灰燼重生
fl_24|弒神之羽|暮色終焉
fl_25|囚魔鎖鏈|禁忌枷鎖
fl_26|血月詠嘆|惡魔禮讚
fl_27|深淵凝望|虛無之眼
fl_28|折翼悲歌|末路狂徒
fl_29|寒霜王座|孤寂之冕
fl_30|黑夜帝國|永恆放逐
fl_31|白黑雙翼|廢墟對翼
fl_32|黑羽魔王|哥德城堡
fl_33|黑紫翼月夜|古廟月階
ha_01|天堂守門|聖光之門
ha_02|白翼守護|神聖殿堂
ha_03|戰鬥天使長|天使軍隊
ha_04|治癒天使|水晶花園
ha_05|音樂天使|雲端管風琴
ha_06|信使天使|黎明降臨
ha_07|審判天使|神聖法庭
ha_08|智慧天使|神聖圖書館
ha_09|慈悲天使|雨中守護
ha_10|勝利天使|彩虹橋頭
ha_11|永恆天使|時光花園
ha_12|城市守夜|星光天使
gm_01|芙蕾雅|北歐愛神
gm_02|瓦爾基里|女武神
gm_03|希爾達|北境盾牌女士
gm_04|海拉|冥界女王
gm_05|雅典娜|智慧戰爭女神
gm_06|阿芙蘿黛蒂|愛與美神
gm_07|阿提米斯|月神獵手
gm_08|珀耳塞福涅|春與冥界女王
gm_09|赫拉|天后女王
gm_10|伊西斯|埃及魔法女神
gm_11|貝斯特|聖貓女神
gm_12|哈托爾|愛與音樂天空神
gm_13|塞赫邁特|戰爭獅神
gm_14|奈芙蒂絲|神聖保護女神
gm_15|努特|星空女神
cp_01|霓虹城市駭客|數位侵入
cp_02|機械義肢特工|賽博增強
cp_03|企業特工偵探|摩天大廈
cp_04|基因改造超人|實驗室誕生
cp_05|全息偶像歌手|虛擬演唱
cp_06|賽博武士|電磁刀劍
cp_07|量子競速員|未來賽車
cp_08|星際探索家|宇宙未知
cp_09|AI意識覺醒|人機融合
cp_10|地下反抗軍|電腦革命
cp_11|神經介面藝術家|腦波創作
cp_12|深海城市建築|水下都市
cp_13|時空旅行者|時間裂縫
cp_14|星際邊疆警長|荒野星球
cp_15|虛擬世界統治者|數位女皇
cp_16|水晶翼太空騎士|宇宙聖甲
rl_01|麥田黃金|麥浪日落
rl_02|薰衣草田|普羅旺斯
rl_03|油菜花春光|花海春日
rl_04|晨霧森林|朝霧之林
rl_05|秋楓火燃|楓葉山道
rl_06|雪後靜謐|冬日白境
rl_07|日落海邊|黃金浪花
rl_08|咖啡館午後|窗邊陽光
rl_09|溫室花房|玻璃花園
rl_10|花市清晨|鮮花攤位
rl_11|雨天街道|濕街倒影
rl_12|礁石浪花|海邊礁石
rl_13|公路旅行|自由公路
rl_14|屋頂城市|天台日落
rl_15|遼闊草原|天地自由
ml_01|頂樓CEO|全景玻璃辦公室
ml_02|會議室女總裁|年度報告
ml_03|頭等艙商旅|飛機商務艙
ml_04|五星飯店大廳|大理石奢華
ml_05|精品旗艦店|奢侈品購物
ml_06|都市OL午休|城市街頭
ml_07|機場貴賓室|頭等候機
ml_08|私人遊艇|地中海奢華
ml_09|高層公寓夜景|落地窗城市
ml_10|法院女律師|出庭制勝
ml_11|時尚雜誌主編|創意工作室
ml_12|米其林晚宴|星級餐廳
ml_13|黑色旗袍外灘|上海夜景
db_01|火焰龍騎士|赤焰長矛
db_02|冰龍女王|冰封王座
db_03|馴龍師|幼龍初遇
db_04|龍族公主|龍宮王庭
db_05|暗影龍騎|地下城
db_06|翡翠龍神|森林守護
db_07|星龍騎手|星際龍巢
db_08|閃電龍祭司|神聖峰巔
db_09|海龍戰士|深淵龍宮
db_10|鳳凰龍|聖火升天
db_11|機械龍|蒸汽廠房
db_12|混沌龍末日|終焉戰場
dp_01|漢朝皇后|漢宮朝服
dp_02|唐朝楊貴妃|牡丹盛裝
dp_03|武則天龍袍|天后稱帝
dp_04|宋朝皇后|鳳冠霞帔
dp_05|明朝皇后|明制鳳冠
dp_06|慈禧太后|西太后御容
dp_07|清朝皇后冬服|冬吉服大朝
dp_08|清朝格格旗裝|滿族格格
dp_09|清朝公主出嫁|皇室大婚
dp_10|唐朝宮廷仕女|步搖金釵
dp_11|唐朝娘娘|梨園步搖
dp_12|宋朝嬪妃|褙子雅韻
dp_13|明朝娘娘|雲肩霞帔
dp_14|漢代長信燈|西漢宮廷
dp_15|隋唐胡旋舞姬|西域胡姬
tg_01|盛唐胡姬酒肆|長安西市
tg_02|大唐上元觀燈|朱雀神都
tg_03|盛唐馬球英姿|驪山獵場
tg_04|大唐貴妃醉酒|沉香亭北
tg_05|盛唐梨園歌伎|霓裳羽衣
tg_06|大唐宮闈畫眉|妝台曉鏡
tg_07|盛唐紈扇仕女|春遊步輦
tg_08|大唐胡旋舞姬|金殿毯旋
tg_09|盛唐霓裳羽衣|蓬萊仙閣
tg_10|大唐金仙公主|終南道觀
tg_11|盛唐花鈿紅妝|長安春色
tg_12|大唐女官批紅|大明宮闕
tg_13|盛唐採桑越女|漢江春水
tg_14|大唐曲江宴遊|雁塔題名
tg_15|盛唐綉嶺踏青|芙蓉園林
tg_16|大唐夜宴聽琴|王府笙歌
tg_17|盛唐紈素輕羅|宮牆柳色
tg_18|大唐胡服騎射|曲江獵苑
tg_19|盛唐踏歌行樂|千門萬戶
tg_20|大唐霓裳仙子|太真宮闈
tg_21|唐宮蓮池貴妃|蓮池金花
tg_22|盛唐牡丹圓鏡|唐鏡牡丹
sg_01|宋代褙子尋梅|臨安殘雪
